Lab nr.	not used in foodweb	Matrix_orig	Specification	Blandprøve nr	Prøvested	LIMS_NR	Individual name	Matrix	Abiotic spesification	Art	Species	Organ	Art 2	Matriks	IFE lab ID	d13CVPDB	d15NAIR	W%C	W%N	C/N W Ratio	Trophic level	Average SD ARU	Comment	Column 2	Column 3	Column 4	Individual	Lengde (cm)	Vekt (g)	Levervekt (g)	Kjønn (M/F)	Gonadevekt (g)	alder
20/2440	1	"Torsk, galle"	Cod bile		Midtmeie	galle1		Biota		Torsk	Cod	bile																					
20/2441	1	"Torsk, galle"	Cod bile		Midtmeie	galle2		Biota		Torsk	Cod	bile																					
20/2442	1	"Torsk, galle"	Cod bile		Midtmeie	galle3		Biota		Torsk	Cod	bile																					
20/2443	1	"Torsk, galle"	Cod bile		Midtmeie	galle5		Biota		Torsk	Cod	bile																					
20/2444	1	"Torsk, galle"	Cod bile		Midtmeie	galle6		Biota		Torsk	Cod	bile																					
20/2445	1	"Torsk, galle"	Cod bile		Midtmeie	galle7		Biota		Torsk	Cod	bile																					
20/2446	1	"Torsk, galle"	Cod bile		Midtmeie	galle8		Biota		Torsk	Cod	bile																					
20/2447	1	"Torsk, galle"	Cod bile		Midtmeie	galle9		Biota		Torsk	Cod	bile																					
20/2448	1	"Torsk, galle"	Cod bile		Midtmeie	galle11		Biota		Torsk	Cod	bile																					
20/2449	1	"Torsk, galle"	Cod bile		Midtmeie	galle12		Biota		Torsk	Cod	bile																					
20/2450	1	"Torsk, galle"	Cod bile		Midtmeie	galle13		Biota		Torsk	Cod	bile																					
20/2451	1	"Torsk, galle"	Cod bile		Midtmeie	galle14		Biota		Torsk	Cod	bile																					
20/2452	1	"Torsk, galle"	Cod bile		Midtmeie	galle15		Biota		Torsk	Cod	bile																					
20/2453	1	"Torsk, galle"	Cod bile		Midtmeie	galle16		Biota		Torsk	Cod	bile																					
20/2088	1	"Torsk, lever"	Cod liver	2	Midtmeie	NR-2020-08402		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-1	6						
20/2089	1	"Torsk, lever"	Cod liver	1	Midtmeie	NR-2020-08403		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-2	14						
20/2090	1	"Torsk, lever"	Cod liver	1	Midtmeie	NR-2020-08404		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-3	19						
20/2091	1	"Torsk, lever"	Cod liver	2	Midtmeie	NR-2020-08405		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-4	26						
20/2092	1	"Torsk, lever"	Cod liver	1	Midtmeie	NR-2020-08406		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-5	13						
20/2093	1	"Torsk, lever"	Cod liver	3	Midtmeie	NR-2020-08407		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-6	"1,15"						
20/2094	1	"Torsk, lever"	Cod liver	1	Midtmeie	NR-2020-08408		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-7	"8,17"						
20/2095	1	"Torsk, lever"	Cod liver	3	Midtmeie	NR-2020-08409		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-8	"4,20"						
20/2096	1	"Torsk, lever"	Cod liver	3	Midtmeie	NR-2020-08410		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-9	"7,31"						
20/2097	1	"Torsk, lever"	Cod liver	2	Midtmeie	NR-2020-08411		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-10	"24,28"						
20/2098	1	"Torsk, lever"	Cod liver	1	Midtmeie	NR-2020-08412		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-11	"12,25,18"						
20/2099	1	"Torsk, lever"	Cod liver	2	Midtmeie	NR-2020-08413		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-12	"21,22,23,27"						
20/2100	1	"Torsk, lever"	Cod liver	3	Midtmeie	NR-2020-08414		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-13	"2,3,29,30"						
20/2101	1	"Torsk, lever"	Cod liver	3	Midtmeie	NR-2020-08415		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-14	"5,16,9,10,11,32"						
20/2102	1	"Torsk, lever"	Cod liver	2	Midtmeie	NR-2020-08416		Biota		Torsk	Cod	liver												Torsk	Lever	Torskelever-15	"34,35,36,37,38,39,40"						
20/2425	1	"Torsk, filet 1"	Cod muscle	2	Midtmeie	NR-2020-08417	1	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-016	"-18,08402859"	"16,123782327"	"47,159553678"	"14,720732034"	"3,2036147094"	"4,169324906"			Torsk	Muskel	Torskefilet-1	1	43	740	14	M	"0,3"	3
20/2426	1	"Torsk, filet 2"	Cod muscle	1	Midtmeie	NR-2020-08418	2	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-017	"-18,35904146"	"15,204450687"	"46,64255677"	"14,552442983"	"3,2051358541"	"3,927395527"			Torsk	Muskel	Torskefilet-2	2	38	530	"8,2"	F	2	na
20/2427	1	"Torsk, filet 3"	Cod muscle	1	Midtmeie	NR-2020-08419	3	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-018	"-17,86731944"	"16,43020747"	"47,017559822"	"14,865266663"	"3,1629139853"	"4,249963102"			Torsk	Muskel	Torskefilet-3	3	"38,5"	470	"8,6"	M	1	2
20/2428	1	"Torsk, filet 4"	Cod muscle	2	Midtmeie	NR-2020-08420	4	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-019	"-18,17173941"	"15,838320892"	"48,207584449"	"15,132380642"	"3,1857237529"	"4,094203476"			Torsk	Muskel	Torskefilet-4	4	41	710	"18,8"	M	1	2
20/2429	1	"Torsk, filet 5"	Cod muscle	1	Midtmeie	NR-2020-08421	5	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-020	"-17,8814024"	"14,02327518"	"47,198965242"	"14,622386714"	"3,2278564481"	"3,616559868"			Torsk	Muskel	Torskefilet-5	5	"36,5"	430	9	M	1	2
20/2430	1	"Torsk, filet 6"	Cod muscle	3	Midtmeie	NR-2020-08422	6	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-021	"-18,29686799"	"15,727997754"	"47,319182117"	"15,016359053"	"3,1511754581"	"4,065171071"			Torsk	Muskel	Torskefilet-6	6	57	1570	"73,1"	M	"2,1"	3
20/2431	1	"Torsk, filet 7"	Cod muscle	1	Midtmeie	NR-2020-08423	7	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-022	"-18,87607689"	"17,041647813"	"48,022845291"	"14,839240408"	"3,2362064343"	"4,410868455"			Torsk	Muskel	Torskefilet-7	7	38	560	14	M	"1,2"	2
20/2432	1	"Torsk, filet 8"	Cod muscle	3	Midtmeie	NR-2020-08424	8	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-023	"-17,90266878"	"16,39347749"	"47,601926078"	"15,007975187"	"3,1717753718"	"4,240297318"			Torsk	Muskel	Torskefilet-8	8	45	860	"19,7"	F	"1,6"	2
20/2433	1	"Torsk, filet 9"	Cod muscle	3	Midtmeie	NR-2020-08425	9	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-024	"-17,79530453"	"16,563246117"	"46,29884224"	"15,020567185"	"3,0823631138"	"4,284973272"			Torsk	Muskel	Torskefilet-19	19	"46,5"	1220	52	F		
20/2434	1	"Torsk, filet 10"	Cod muscle	2	Midtmeie	NR-2020-08426	10	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-025	"-18,15395607"	"16,31491036"	"46,36901223"	"14,696572414"	"3,1550902431"	"4,219621757"			Torsk	Muskel	Torskefilet-26	26	44	990	41	F		
20/2435	1	"Torsk, filet 11"	Cod muscle	1	Midtmeie	NR-2020-08427	11	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-026	"-18,66159871"	"13,149945346"	"45,286020818"	"14,754973866"	"3,0692037296"	"3,386736227"			Torsk	Muskel	Torskefilet-11	11	35	400	"3,1"	M	1	1
20/2436	1	"Torsk, filet 12"	Cod muscle	2	Midtmeie	NR-2020-08428	12	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-027	"-18,81999426"	"17,013141709"	"47,248901903"	"13,741862945"	"3,438318523"	"4,403366849"			Torsk	Muskel	Torskefilet-12	12	43	740	"7,8"	M	1	2
20/2437	1	"Torsk, filet 13"	Cod muscle	3	Midtmeie	NR-2020-08429	13	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-028	"-18,7989021"	"15,936770526"	"48,350022671"	"15,153860348"	"3,1906076446"	"4,120111274"			Torsk	Muskel	Torskefilet-13	13	47	940	32	M	"1,1"	2
20/2438	1	"Torsk, filet 14"	Cod muscle	3	Midtmeie	NR-2020-08430	14	Biota		Torsk	Cod	muscle	Torsk	Muskel	2020-114-029	"-18,61658417"	"15,857069954"	"46,239372932"	"13,776529792"	"3,3563875396"	"4,099137439"			Torsk	Muskel	Torskefilet-14	14	60	2290	160	M	9	5
