Lab nr.	Matrix	Rapp.frist 01.02.21   Prøvested	LIMS NR	Unit1	Unit2	Unit3	Label	Data	Data>LOQ	LOQ	Unit	HalfLOD	Det_freq
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Fettprosent						NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PeCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	HCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-18				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-28				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-31				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-33				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-37				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum-TriCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-47				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-52				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-66				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-74				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum-TetCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-99				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-101				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-105				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-114				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-118				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-122				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-123				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum-PenCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-128				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-138				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-141				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-149				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-153				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-156				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-157				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-167				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum-HexCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-170				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-180				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-183				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-187				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-189				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum-HepCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-194				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-206				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PCB-209				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum 7 PCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Sum all PCB				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	TBA	"-0,0226"		"0,0226"	ng/L	"0,0113"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-17	"-0,0116"		"0,0116"	ng/L	"0,00580"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-28	"-0,0128"		"0,0128"	ng/L	"0,00640"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-47	"-0,0537"		"0,0537"	ng/L	"0,0269"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-49	"-0,00929"		"0,00929"	ng/L	"0,00465"	ND
